215.7	353.6	224	472.6	238.4	530.2	253.9	587.9	259.9	652.9	253.9	717.9	255.1	782.9	267.1	895.8	275.5	965.7	285	1035.6																								
225.2	337.6	234.8	441.9	249.2	499.6	276.7	560.9																																				
252.7	538.8	269.5	675	277.9	791.5	294.6	911.7	303	974.3	320.9	1039.3	342.4	1103.1	353.2	1142.4	354.4	1196.3	344.8	1251.6																								
5.2	1137.5	55.4	1124	100.9	1125.2																																						
19.5	1105.6	109.2	1082.3	176.2	1066.3	226.4	1044.2	251.5	1043	347.2	1041.8	383.1	1035.6	426.2	1022.2																												
55.4	1124	90.1	1087.2																																								
4	1052.8	53	1044.2	81.7	1045.5	116.4	1038.1	152.3	1032	187	1032	225.2	1033.2	244.4	1032																												
116.4	1038.1	178.6	1045.5	223.6	1045.5																																						
43.4	1029.5	114	1006.2	169	991.5	206.1	980.4	244.4	971.9																																		
237.2	962	312.5	962	355.6	955.9	397.5	947.3																																				
84.1	992.7	148.7	967	187	952.2																																						
0	940	44.6	964.5	79.3	974.3	135.5	980.4																																				
5.2	930.1	56.6	920.3																																								
281.4	1009	337.7	1009.9	393.9	1014.8	426.2	1022.2																																				
426.2	1022.2	490.7	1045.5																																								
380.7	1054	425	1041.8	478.8	1029.5	535	1011.1																																				
345.5	1114.3	408.2	1137.5	447.7	1144.8	499.1	1144.8	537.4	1136.2	588.8	1109.3	672.5	1070	725.1	1052.8	816	1014.8	855.5	991.5	886.6	973.1	923.7	975.5	950	970.6	1003.8	951	1050.6	925.9	1103.7	905.6	1177.6	883.2	1244.2	872.5	1272.3	862.9	1313.9	857.5	1361.8	838.3	1401.4	824.4
1116	0	1100.3	232.5	1054.4	474.9	1045.9	545.5	1028.8	646	1024.7	716	1020.6	812.2	1013.5	903.2	1010.5	1005.7	1004.3	1087.2	1002.3	1186.6	986	1276.5	969.7	1428.1	948.3	1600.7	954.4	1754.4	964.6	1815	963.6	1840.1										
2.1	884.8	104.1	855.9	174.2	833.2																																						
224.5	819.2	257.7	806.8																																								
59.9	727.8	130.8	726.2	161.2	731.7																																						
80.5	722.3	129.3	714.5	168.9	713.7	206.9	720.7	229.8	730.1	267.9	719.2	293	717.6	325.8	716.8	343.3	714.5	388.2	709	431.6	701.2	460.6	698.1																				
77.5	822.3	130.8	780.1	160.5	751.2	183.3	736.4	206.2	730.1	229.8	730.1																																
66.8	631.7	127	645.7	156.7	655.9	195.5	665.3	220.6	670																																		
154.4	633.2	197	627	216.1	617.6	233.6	605.9	271.7	601.2	297.6	598.1	344	586.4																														
277	573.1	274.7	619.2	283.1	620	286.1	651.2	290	673.9	303.7	707.5	313.6	758.2	332.6	809.8	347.1	863.7	349.4	902.8	354.7	944.2	365.4	978.5																				
201.6	948.9	237.4	944.9																																								
194.8	388.7	254.2	391.8	308.2	392.6	366.1	396.5	427.1	395	484.2	384.8	569.5	362.2																														
230.6	522.3	258	477	288.4	437.1	327.3	363.7																																				
210.9	389.6	261	413.7	321.2	435.6	385.9	435.6	435.4	427.8																																		
303.1	265.1	354.8	269	401.8	273.7	428.4	266.7	461.8	251.9	486.8	228.5																																
498.2	235.6	549.1	205.2	593.8	179.5																																						
354.8	269	388.2	246.5	418.5	236.3	445.1	227																																				
364.6	228.5	414.3	237.7																																								
371.5	211.4	390.4	199.7	421.5	181.1																																						
458.7	196.6	515.7	188.1	557.4	167	591.6	146																																				
464	160	508.8	146.8																																								
492.9	136.7	514.1	135.9	557.4	121.9	578.7	114.1																																				
273.5	332.1	318.3	341.4																																								
317.6	334.4	356.3	337.5	391.9	334.4	421.5	329																																				
407.9	295.5	453.4	280.7	475.4	272.9																																						
489.9	284.6	527.8	268.2																																								
591.6	139.8	669	113.3	718.3	99.3																																						
626.5	104.8	694	79.9	743.4	70.5	776.7	62.7	797.2	48.7																																		
759.3	106.3	856.4	69	907.3	47.2	968	25.4	990	13.7																																		
795.7	114.1	879.2	89.2	926.3	83	995.3	75.2																																				
640.1	181.8	725.9	156.9	808.6	138.2	866.3	120.3																																				
634.8	158.5	673.5	147.6																																								
973.3	51	952.8	119.6																																								
955.1	111.8	987.7	112.5	1024.2	107.1	1058.3	99.3	1082.6	96.2																																		
672.8	192	739.6	178.7	782.8	167.8																																						
1058.3	99.3	1002.9	129.7	959.7	156.1																																						
960.4	146.8	908.8	168.6	876.9	195.8	846.6	220																																				
920.9	150.7	870.1	170.2	829.1	192.7																																						
830.6	164.7	795	191.2	774.5	208.3																																						
814.7	206.7	770.7	216.9	739.6	224.7	714.5	236.3	695.5	237.1																																		
663.7	216.1	663.7	272.9																																								
628.7	257.3	653.8	251.1	678.8	241.8																																						
684.9	262.8	663.7	272.9																																								
663.7	272.9	629.5	278.4	606	285.4	590.8	296.3	576.4	311.8																																		
533.9	346.1	590	329.8																																								
599.1	314.2	634.8	308.7	659.9	311.1																																						
615.8	332.1	644.7	331.3	668.2	329																																						
