     22.2468	    266.9910	     17.6494	    267.7020
     26.8442	    263.1300	     26.4886	    263.1300
     26.4886	    262.7750	     27.1744	    262.4190
     27.8856	    261.7080	     27.5300	    262.0630
     17.6494	    159.0410	     18.0050	    159.7520
     17.6494	    279.3610	     17.6494	    279.3610
     24.7106	    106.8440	     21.5356	    102.9580
     17.6494	    132.9550	     18.0050	    132.6000
     25.0662	    119.1880	     22.9580	    116.7250
     24.3550	    133.9970	     17.6494	    122.3630
