22.6	62.7	100.6	62.7	166.6	62.7	225.1	62.7	207.1	83.6	225.1	113.6	240.1	155.6	199.6	218.6
96.1	0	109.6	44.7												
214.6	7.2	225.1	44.7												
313.6	7.2	270.1	91.1												
336.1	0	307.6	73.2												
441.1	22.3	414.1	62.7	414.1	91.1	394.6	130.1								
375.1	62.7	414.1	62.7												
367.6	36.6	367.6	91.1	387.1	185.6	394.6	251.6	408.1	323.6	414.1	410.6	426.1	499.1	435.1	526.1
96.1	73.2	123.9	130.1	133.6	197.6	141.1	266.6								
118.6	266.6	190.6	266.6												
214.6	224.6	163.6	329.6												
79.6	190.1	225.1	146.6												
88.6	112.1	96.1	161.6												
0	277.1	131.4	356.6	152.4	374.6										
60.1	266.6	79.6	361.1	109.6	427.1										
0	364.1	131.4	346.9												
163.6	341.6	270.1	325.9	342.1	314.6	406.4	314.6								
240.1	266.6	363.1	266.6	474.1	277.1	501.1	281.4								
427.6	161.6	441.1	236.6												
454.6	0	463.6	49.2												
313.6	112.1	435.1	76.2	523.6	62.7										
541.6	7.2	565.6	87.4												
441.1	380.6	541.6	364.1	598.6	341.6	642.1	328.1	712.6	307.1	750.1	293.6				
571.6	22.3	595.6	112.1	619.6	206.6	640.6	254.6	664.6	307.1	687.1	364.1	712.6	397.1	744.1	415.1
732.1	266.6	759.1	314.6	750.1	380.6	750.1	464.6								
793.6	452.6	793.6	403.1	786.1	355.5	777.1	293.6	777.1	199.1						
0	473.6	22.6	496.1												
0	508.1	96.1	479.6	189.1	446.6	270.1	427.1	367.6	404.6						
246.1	281.4	259.6	365.6												
141.1	277.1	163.6	404.6												
11.3	391.1	141.1	427.1												
48.1	578.6	0	571.1												
48.1	565.1	163.6	571.1												
141.1	463.7	163.6	596.6	190.6	694.1	214.6	788.6								
219.9	508.1	166.4	606.5												
166.4	557.3	321.9	545.6												
381.1	409.1	517.6	427.1												
517.6	440.6	595.6	404.6												
535.6	62.7	565.6	140.6	571.6	224.6	579.1	325.9	606.1	473.6	633.1	655.1	649.6	752.6	657.9	782.6
618.1	0	630.1	87.4	648.1	161.6	657.9	218.6	649.5	274						
646.6	7.2	657.9	44.7												
685.6	7.2	694.6	62.7												
717.1	7.2	724.6	34.9												
759.1	7.2	771.1	36.6												
793.6	206.6	793.6	293.6	808.6	391.1	816.1	526.1	838.6	664.1	861.1	740.6	871.6	823.1	894.1	937.1
829.6	314.6	855.1	440.6												
808.6	391.1	849.1	484.9												
855.1	151.1	891.1	323.5												
909.1	7.2	942.1	130.1												
