363.4	230.1	383.9	231.7	400.4	233.7																						
378.3	239.7	397.5	226.5																								
316.7	241.7	348.5	243.3	373.4	245.3																						
321.2	193.2	331.6	189.6	347.3	186	361.8	181.2																				
323.2	179.2	354.5	189.2	364.6	191.2	373.8	188.4	400.8	177.2																		
351.4	188.2	364.2	186																								
369.2	189.8	389.1	197.2																								
332	154.8	353.7	148.4	374.2	145.9	395.1	145.1	412.8	145.9	425.1	148																
312.8	156.5	332.8	149.6	349.7	145.5	371.8	142.7	378.3	142.7																		
316.7	152.4	332.8	149.6																								
393.5	140.3	412.7	145.9																								
307.5	144.3	322	139.5	332	135.5																						
251.2	148.4	279.4	143.1	301.1	136.7	315.1	134.3	331.6	135.7																		
331.6	135.7	342.4	135.9																								
342.4	135.9	350.5	132.7	356.9	132.7	366.6	133.1	374.2	134.3																		
280.6	145.9	301.5	140.3	322.6	135																						
369.8	129.1	388.7	131.9	405.6	135.5	419.7	137.9	435.7	139.9	451.4	139.1	463.9	140.3	478.4	143.1												
441.4	139.6	455.4	142.7	467.9	144.3	478.4	143.1																				
405.6	135.5	416.8	131.9	441.4	132.7	469.1	134.3																				
434.9	126.7	465.9	131.5																								
304.3	121.5	326.4	121.5	338.1	120.7	357.3	119.9	387.9	121.5	415.6	123.5																
451	148.4	468.3	150.8	480.8	152.4																						
455.8	161.2	483.2	163.2																								
477.6	152	472.3	172.4	465.9	208	451.8	244.5	449	252.9																		
314.7	100.7	330.4	93.1	342.9	86.3																						
353.3	101.9	371	95.1	381.9	89.9	389.1	88.7	401.6	86.7	413.2	86.7	420.9	89.5	428.1	90.9												
365	101.1	350.5	109.9	339.3	114.3	329.6	112.3	320.4	111.5	299.1	110.3	284.2	109.1														
289.8	113.1	305.1	114.7	318	117.1	330	117.1	344.5	120.4																		
339.3	114.3	353.1	120.1																								
340.1	38.6	347.3	28.2																								
269.7	20.2	289.4	23.4	310.3	29	328.8	29.4	342.9	29.4																		
275.3	16.6	288.2	19.8																								
311.1	45.8	293	56.2	268.1	71	243.6	83.9																				
215.8	72.2	246	66.2	264.9	60.2																						
279	44.6	297.4	36.6																								
283	77.8	258.9	83.9	244.4	88.3	223.9	85.1	201.8	81.5	188.5	81.5	181.3	85.5	177.2	88.3												
181.7	80.2	161.6	81.9	138.7	89.1	131	89.1																				
228.7	44.6	233.9	61.8	236.8	86																						
221.9	71	220.7	45	219.5	29.4	219.5	18.2	216.6	3.3																		
213.4	3.7	210.2	19	211	32.6	213.4	43.4	217.4	64.2																		
226.7	73.8	228.7	96.3																								
162.8	8.9	191.3	15.8	207	20.6	215	22.6	225.1	23.8	233.9	24.6																
201.4	22.2	225.1	27																								
229.1	8.1	233.9	24.6																								
233.9	24.6	237.1	36.6																								
236	13.2	252	13.3																								
180.9	7.3	200.6	7.7	211.7	11.9																						
242.4	22.6	250.4	23																								
181.7	94.3	199.4	87.1	217.4	81	231.1	77.4																				
143.5	23.4	131.9	54.6	125.1	75.3	122.7	97.7	116.7	129.2																		
150.7	75.7	135.5	78.5	120.7	80.5	106.6	79.7	87	78.5	57	77.3																
80.2	60.1	79.4	92.1	79	129.2	82.6	162.7	83.8	183.9	84.6	213.8	82.6	240.2	84.6	251												
162.3	20.6	149.5	56.1	140.7	84.5																						
113.4	35.8	137	40.9																								
128.7	28.6	123.5	51.4	119.1	72.5																						
128.7	23	149.5	29	154.7	30.2																						
151.4	50.9	173.5	56.5	185.6	60.1																						
110.6	94.5	117.5	92.9	123.2	92.9																						
79.2	114.4	95.4	106	110.2	102.1	129.5	96.1	139.5	95.3	149.1	97.3																
114.7	100.7	132.7	102.5	151.1	102.9	167.1	104.1	184	104.1	191.6	106	201.2	109.6	215.2	112.4	226.4	113.2	241.6	110.4	254.5	110	265.3	112	272.9	114.8		
109	155.2	135.1	152.8	153.9	148.8	176.3	146	197.2	143.2	218	138.8	228	138.8	248.9	137.2	278.5	133.2	298.5	131.2	310.5	132.8						
253.2	164.4	272.8	159	283.1	154.1	290.5	152.2	302.2	150.7	312.3	149.1																
289.5	155.6	304.2	155.6	312.8	156.5																						
263	179.5	286	179.5	300.3	180.5	308.1	181																				
256.2	187.8	283.6	174.2	299.3	166.3																						
179.2	104.1	196.4	98	210.1	96	219.9	96	243.4	103.9	251.8	106.3																
