892.0299	434.735	1008.2692	345.7392						
964.41	303.0169	1017.6335	354.8608	1098.7272	420.7113				
915.8092	269.4991	1092.6299	391.4444						
986.8482	471.4931	1008.4876	495.0979	1043.242	526.8037	1113.9703	576.8013		
837.1545	364.6164	1112.1411	560.9484						
940.0635	547.8654	1008.4876	495.0979						
646.8855	304.9127	672.5283	330.4718	763.3776	399.3709	863.3727	487.1715	968.0465	570.0115
659.7241	9.1459	915.1995	192.0638						
609.5318	59.788	673.7478	118.8967	837.1545	237.7933				
529.2426	1.8292	724.3551	142.676						
649.3587	145.1149	985.318	398.1514						
888.9812	159.1386	1020.6822	243.8906						
755.4511	301.8146	780.4499	278.0353	912.7606	170.1137				
509.154	98.1257	702.4049	220.721	780.4499	278.0353				
448.149	191.4541	519.1934	106.2009						
412.1751	20.121	580.4596	155.4803						
399.9806	124.3842	629.2378	292.6687	786.5472	401.8098				
975.5624	684.1131	1045.9146	622.8582						
903.6147	601.8001	1077.3867	729.8426						
805.4487	626.7988	870.0797	560.9484	896.9987	521.7934				
879.2256	509.7314	1099.3369	659.1144						
676.9388	438.6049	717.6481	484.7326	863.9825	588.3861				
298.6218	129.467	359.7386	186.5763	482.9034	265.231	537.1691	312.7897		
246.3295	92.6784	367.6651	178.0401						
483.5131	296.9368	624.3599	399.3709	744.4761	489.0007				
378.1777	264.6467	471.9283	318.2772	624.3599	399.3709				
346.3247	241.4517	528.0232	373.7623						
462.7824	346.9344	552.4122	269.4991						
338.3994	269.2857	418.2724	339.6177	495.0979	395.7125	599.3612	464.6116		
174.3818	147.5538	408.5168	321.3259						
900.7134	876.2569	990.1958	792.6445						
893.2493	771.304	1015.8044	848.1296						
661.0827	676.6036	710.3314	621.3113	759.7192	561.5581				
692.0396	510.3411	759.7192	561.5581	917.6384	675.577				
570.704	507.2925	823.7405	687.1618						
957.8803	914.5898	800.5709	809.1071	765.2068	782.2791	685.3295	694.0946		
393.2736	472.538	554.8511	599.9709	874.3478	830.4475				
104.873	226.8183	284.056	336.8966						
599.3612	584.118	419.8126	463.5819						
235.3544	291.4493	499.9757	538.3885						
525.3046	681.4765	631.5817	766.5895	745.1505	844.2335				
396.332	596.8157	603.7689	732.9824						
395.7525	699.3753	499.471	586.3859						
197.5866	373.1547	264.2213	429.3596	498.8916	631.0022				
62.5787	293.7724	201.6426	394.5937	264.2213	429.3596				
100.8213	505.2653	233.5114	367.9398						
224.2405	555.0965	133.2695	482.6674	20.8596	398.0703				
511.6391	757.898	460.649	719.6554	293.7724	592.1802	133.2695	482.6674		
744.0194	892.8649	790.9257	943.8959	856.981	995.4654				
794.4022	927.0923	688.5362	855.1725	532.4987	756.7391	460.649	719.6554		
591.6008	870.8874	741.0944	960.12	827.4299	1012.8484				
600.8717	931.1484	705.1696	840.7569						
447.9015	815.2618	648.3852	946.7931						
232.8144	641.8697	285.0809	684.31	417.1916	786.8696				
82.8589	545.8256	274.6511	668.6653						
282.7632	632.7405	480.9292	781.0753						
389.9582	792.6639	442.1072	734.7207						
246.344	733.9624	385.9022	860.4576						
190.6334	725.4498	385.9022	860.4576	423.5653	886.532	531.3398	955.4845		
446.7426	861.6164	742.8327	1050.5115						
480.3497	961.8583	656.4973	1072.5299						
608.9838	1069.6328	696.4781	991.9888						
385.9022	912.0271	485.5646	983.2973	558.5731	1042.3994				
394.5937	968.8115	542.349	845.9718						
267.6979	845.9718	341.2859	899.859						
208.1483	775.915	336.6504	895.2235	407.9206	947.9519	438.0511	970.5498		
130.9518	799.6171	275.81	887.6909	407.9206	947.9519				
34.1865	728.3469	130.9518	799.6171	210.9135	859.8781				
71.2702	778.1781	154.8623	669.0441						
21.8105	567.1571	165.7178	677.3568	195.2688	698.7958	336.6504	796.1405		
8.6915	630.4228	137.905	730.6646	292.6135	830.3271				
0.5794	555.676	135.5873	628.6845	223.0816	676.7774				
415.4533	1063.8385	471.6582	1015.7455	532.4987	976.9236				
280.536	943.7772	407.7554	1009.4358						
287.28	935.5272	427.6838	1021.6614	523.8072	1079.4831				
71.1977	805.0811	226.0401	902.1688	299.7272	958.4299	360.4692	998.2608		
463.0337	1073.9394	368.9333	1032.117	296.7065	995.0406				
125.4672	882.2534	217.576	944.4891	250.9344	966.3961	328.1067	1014.691	354.9925	1032.117
226.0401	975.358	277.8202	914.616						
