56.7	301.9	143.2	272.5	220.8	238.7	258.7	227.8	331.2	201	389.8	169	469.1	127.8	514.2	101.9	573.3	76.9	625.6	59.8	663.5	48.4	700.6	44.9																						
658	21.2	650.8	52.2																																										
639.9	49.7	638.6	77.4																																										
606.2	48	629.4	36.6	656.7	27.1																																								
569.1	65.1	578.3	56.3	604.9	42.3	634.8	26.9	642	23																																				
502.9	0	534.9	12	556.8	28.2	580.9	39.2	587.6	44.5	592.2	54.6	590.1	63.3	584.5	73.2																														
578.3	56.3	586.3	35.3	603.2	11.6																																								
542.1	0	544.1	18.8																																										
526	80	557.5	83.6																																										
543.3	82	554.7	59.8	563.6	42.7	567.7	33.2																																						
534	80.9	545	64.2																																										
428.6	0.6	448.5	39.2	468.3	72.5	488.4	116.7																																						
495.7	100.2	509.2	87	518.5	80.9	531.1	74.3																																						
456.5	8.9	464.9	22.1	470	34.8	472.1	44																																						
463.7	64.8	472.1	44																																										
472.1	44	474.2	33.5	473.3	23.4	474.6	17.7	476.3	0.6																																				
472.1	44	509.2	50.2	531.5	57.2	545	59.8	549.2	60.3																																				
399.1	5	419.4	50.2	439.2	87	451.8	112	461	132																																				
410.1	0	414.3	23	419.4	50.2																																								
378.9	5.4	373	49.7	369.6	90.5	367.5	121.2	361.6	143.1	359.9	149.7																																		
346	16.4	349.4	79.1	353.6	134.4	356.1	164.6	359.3	185.7																																				
351.8	111.6	370.4	134.4	377.6	148.8	385.2	159.4	395.7	166																																				
364.1	58.1	382.3	55	402.1	55.4	423.7	58.2																																						
319	31.8	326.2	56.3	339.7	78.2	350.2	89.6																																						
368.2	111.1	381.8	104.1																																										
334.2	20.8	327.9	36.6	327	40.5																																								
201.4	98	210.6	162	217	202.8	226.2	222.1	232.6	235.3																																				
90.5	202.8	140.2	185.2	194.2	169.9	211	164.6																																						
161.6	179.2	198	190.5	225	205.4	247.7	218.6																																						
122.5	163.3	155	171.6																																										
214.4	186.1	239.7	200.6	254.9	212																																								
254.9	197.1	275.1	213.3																																										
94.2	205.4	127.1	216.4	144.4	223.8	159.2	233.5	174.4	240.1																																				
124.6	219.4	150.4	227.7																																										
62.6	287	104.8	266.4	127.6	254.1	144.4	248.8																																						
473.5	131.9	556.1	97.6	618.1	72.6	666.7	55.8	695.4	45.4																																				
473.5	131.9	408.2	171.1	339.8	207	301.9	222.3	203	262.8	168.4	277.4																																		
103.2	315.9	53.5	325.9																																										
112	279.8	104.1	305.8	103.2	315.9																																								
941.1	274.1	912.1	285.7	876.4	292.2	833.6	297.3	779.3	304.7	731.6	312.6	695.9	325.1	655.8	335.8	625	345.5	573.8	359.9	537.2	377.5	492.7	393.7	334.4	449.4	317.4	457.9	288.8	469.1	272.5	473	250	474.5	220.5	476.4	192.9	478.9	157.3	494.9	70.8	523.1	55.8	530.9	22.1	548
471.1	133.3	488.3	166.9	509.7	207.7	525.6	242.6	541.5	284.8	562	351.2	574.1	394.8	583.4	420.5																														
583.4	420.5	589	446.2	597.4	466.6																																								
598.2	80.6	627	131.7	654.3	181.1	677.8	232.7	695.9	269.4																																				
493.9	177.5	508.9	161.9	524.4	153.6	545.4	144.8	562.2	136.1	586.2	130.4	602.2	124.7																																
551.3	163.2	582	143.5	609.7	127.4	630.3	119.5	654.7	117.3	677.4	112.1	697.1	111.6	748.4	117.7	821.5	126.5	845.4	130																										
587.7	84.9	599.6	94.1	608	97.9																																								
573.3	76.9	571.9	97.2	572.8	102																																								
451.7	257.6	484.9	241.4	507.6	228.7	516.2	221.8																																						
516.2	221.8	536.6	206.9	571.9	183.3	598.4	164.5	613.9	141.8	623.6	137	635.8	131.3	646.7	124.7	675.8	112.4																												
601.3	180.7	622.7	175.9																																										
603	190.7	627.8	183.3	638.3	178																																								
527	229.2	563.5	212.1	587.9	204.7	620.2	199	640.8	195.1	655.1	191.2																																		
624.5	198.2	645.4	189	674	178	705.9	170.2																																						
658.6	183.9	683.7	180.2	691.2	179.8																																								
693.8	181.5	713.9	177.2																																										
530.7	235.3	561.4	224.4	590.8	212.1	598.4	209.5																																						
367.6	310.6	403.7	294.3	444.1	275.7	479.9	259.9	508	247.1	531.1	240	554.6	233.6	573.1	227.8	591.9	226.9	626.2	221.1	661.3	214.1	692.5	206.7	735.4	199.3	773	192.2	793.7	188.7																
591.9	226.9	618.8	218.2	636	212.4	647.1	209.2	654.2	209.2	659.2	209.9																																		
630.5	220.2	643.1	210.4																																										
643	217.7	662.9	217.9	666.9	219.8	672.3	220.6																																						
541.3	244.9	569.7	233.6	585.6	227.2																																								
544.7	248.7	567.5	240.7	571.9	238.8																																								
554.6	247.7	584.8	237.8	611.4	227.2	626.2	221.1																																						
609.5	231.1	624.9	225.9																																										
537.1	273.1	588.4	262	631.8	257.5	665.1	246.7	689.4	237.4	727.4	221.4	737.1	215.8																																
720.2	60.1	727.4	83.2	729.2	103.3	728.5	136.8	724.9	181.5	723.8	208.3	729.2	230.7	733.5	260.1	735.6	287.7	735.3	305.2	734.8	312.1																								
598.9	260.9	626.4	249.7	649.7	237.8	667.2	228.5	673.6	223.4																																				
699.9	205.4	713.1	194.6	719.2	192.3	739.6	190.5	768.6	185.2	795.8	182.6	810.8	180	834.8	173.3	842	173.7																												
608	97.9	633.6	100	656.8	100.3	670.1	103.7	679	108.9	684.3	111.9																																		
673.3	83.6	695.9	83.6	711.6	81																																								
649.3	155.8	671.5	144.3	689.1	137.6	701.6	134.2																																						
737.1	215.8	760.3	209.1	790.8	199.8	819.4	187.1	842	173.7																																				
842	173.7	873.5	160.7																																										
734.4	180	753.3	179.6	767.9	181.1	781.7	184																																						
738.8	185.3	768.1	181.2																																										
738.8	99.9	751.2	127.9	754.8	134.7																																								
730.1	59.5	743.2	90.9	758.8	127.9	768.6	153.9	772.6	166.8	774	174.7	775.1	189	778.4	199.6	784.6	212.8	787.1	222.3	786.4	241.5	785.6	254	785.6	261.9																				
747.9	163.4	765.7	158.1	778.4	157.7	788.9	154.3	798	150.9																																				
776.2	155.1	789.6	150.1																																										
752.6	94.3	778.4	96.1	790.7	95																																								
758.1	87.5	779.8	90.9	790.7	95																																								
790.7	95	806	98																																										
807.4	134.7	815.8	130.1	825.2	124.5	835.4	119.6																																						
815.4	114.6	828.1	115.8																																										
818.3	120.7	830.4	122																																										
784	139.3	780.2	153.6																																										
780.2	153.6	780.6	164.7	783.7	175.5	792.7	195.5	802.3	216	809.5	228.5	809.5	243.6	808.2	260.4	807.8	270.8	807.8	278																										
809.5	228.5	812.3	246.5	812.6	265.1	809.2	284.8	805.4	301.2																																				
785.4	161.8	789.6	150.1																																										
789.6	150.1	793.3	130.3	795.4	116.7																																								
806	98	807.5	118.5	807.5	129.6	803.7	142.1																																						
810.9	125.2	807.8	140	805.1	157.5	803	167.6																																						
807.1	144.7	811.3	162.9	814	174.4	814	179.1																																						
805.5	155	819.9	150.4																																										
833.3	128.2	838.8	157.2	840.6	170.5	842	173.7																																						
817	178.3	827.1	170.1	835.4	163.6	846.8	159.7	856.4	157.2	864.4	155.8																																		
858.5	143.2	862.4	156.1																																										
847.8	166.1	854.5	157.7																																										
825.1	191.5	850.2	186.1	864	184.6																																								
853	181.7	870.1	180.7	891.9	179.2																																								
859.7	177.7	877.2	175.3	887.7	175.3																																								
848.8	194	849.2	209.8	854	224.6	854	232	853.5	243.3	855.4	258.6	854	269	851.6	283.3	850.6	295.3																												
850.6	295.3	844.5	312.9	842.1	324.7																																								
