243.7	272.5	416.8	539.7	559.5	736.7	772.9	933.8	891.1	1026.5	994.9	1120.7	1033.9	1174.3	1097.3	1239.5	1139.1	1262.7	1245.8	1361.2	1312.1	1439.4	1428.9	1477.1	1544.3	1581.4	1648.1	1687.2	1668.3	1716.2								
0	1098.4	179.2	1000.9	226	980	319.6	960.8	392.3	913.8	453	863.3	510.2	786.7	574.3	704.8	692.1	664.8	815.2	629.9	1002.3	562	1177.4	516.8	1383.6	452.3	1527.4	405.3	1638.3	391.4	1688.6	361.8	1718.1	333.9				
421.8	835.4	494.6	910.3																																		
26.7	825	170.5	943.4	305.7	1042.7	485.9	1164.6	546.6	1230.7																												
139.3	1481.5	331.7	1256.9	440.9	1077.5	551.8	905.1	625.4	797.6																												
175.7	1565.1	267.6	1397.9	387.6	1165																																
358.5	1221.5	463.4	1309.1	603.8	1410.1	676.5	1457.1	778.8	1572.1	879.3	1687	959	1754.9	1049.1	1861.1	1134	1915.1																				
75.4	572.7	169.6	653.2	229.4	721																																
363	774.7	417.7	851.4																																		
363	774.7	337.5	741.5																																		
251	753	299.4	833.5																																		
164.5	860.4	215.4	902.6	234.5	919.2																																
47.4	673.7	66.5	700.5																																		
282.8	526.6	354.1	593.1	405	646.8																																
402.4	790	485.1	855.3																																		
487.7	763.2	550	836.1																																		
525.5	945.9	569.7	981.4																																		
464.7	941.6	553.4	1009.6																																		
385.4	958	476.1	1022.7																																		
470.5	1031.4	562.7	1102.2	644.4	1171.3	681.7	1207.7	729.5	1258.1																												
544.8	915.9	588.4	980.3	625.7	1018.9	696.9	1118.6	749.4	1199.5	779.7	1254.6	806.5	1282.7																								
700.6	1124.3	771.5	1194.8	808.9	1242.9	835.7	1264																														
835.7	1253.4	898.7	1302.7																																		
806.5	1282.7	860.2	1300.3	898.7	1302.7																																
898.7	1302.7	969.9	1322.6	1034	1384.7	1112.2	1434	1216	1534.8	1283.7	1584	1323.4	1640.3	1343.2	1670.8	1393.4	1718.8																				
176.5	363.6	217.4	403.5																																		
181.2	459.7	224.4	523																																		
285	470.3	353.9	552.3	406.4	605.1																																
313	697.7	429.7	783.3																																		
268.7	417.5	314.2	470.3																																		
135.7	982.6	212.7	1049.4	299	1106.9																																
150.9	1077.6	262.9	1157.3																																		
77.4	1198.3	146.2	1256.9	189.4	1285.1																																
129.9	1465.6	181.2	1510.2	239.5	1562.9	275.7	1595.7																														
223.2	1579.3	279.2	1636.8	296.7	1680.1	327	1718.8	343.4	1735.2																												
148.5	1516	187.4	1543.9																																		
310.7	1619.2	386.5	1670.8																																		
359.7	1620.4	440.2	1697.7	509	1742.3																																
481	1701.2	538.2	1752.8	597.7	1807.9																																
321.7	1292.9	412.2	1339	483.4	1378.9																																
423.5	1345.3	450.7	1377.7																																		
375.7	1188.1	448.4	1255.8																																		
409.9	1206.5	455.4	1242.9																																		
570.9	1276.9	642	1330.8																																		
470.5	1208.9	520.7	1247.5																																		
447.2	1214.7	498.5	1253.4																																		
645.5	1373	708.5	1424.6																																		
570.9	1369.5	611.7	1392.9																																		
750.5	1308.5	794.9	1363.6																																		
868.4	1300.8	874.2	1396.4	881.2	1484.4																																
824	1471.5	849.7	1438.6	875.8	1416.8																																
874.9	1404.7	910.4	1428.1																																		
792.5	1484.4	831	1501.9																																		
842.7	1513.7	922	1547.7	985	1571.1	1014.2	1580.5	1036.4	1605.1	1066.7	1645																										
