546.9	2.4	564.5	42.4
564.5	42.4	616.3	107.6
616.3	107.6	653.2	160.6
552.3	14.6	556.6	58
556.6	58	569.7	91.9
569.7	91.9	618.9	158
618.9	158	664.6	222.3
664.6	222.3	705.9	268.4
705.9	268.4	728.8	306.6
728.8	306.6	742.8	345.7
742.8	345.7	766.5	407.4
766.5	407.4	782.1	450.5
782.1	450.5	791.6	467.2
791.6	467.2	795.8	471.4
569.7	91.9	567.3	136.9
567.3	136.9	572.9	168.5
572.9	168.5	575.7	186.1
557.9	166.6	575.7	186.1
575.7	186.1	627.3	268.8
627.3	268.8	676.1	354.2
676.1	354.2	721.2	431.2
721.2	431.2	768.1	520.2
768.1	520.2	804.2	594.9
804.2	594.9	835.2	667.3
835.2	667.3	860	719.1
860	719.1	871.8	752.6
871.8	752.6	888.7	805
984.5	611	967.6	559.7
967.6	559.7	950.7	504.6
965.2	552	1004.2	551.9
998.6	431	966.5	482.8
966.5	482.8	951	505.5
951	505.5	903.9	576.5
903.9	576.5	854.9	655.1
854.9	655.1	826.2	713
826.2	713	809.8	746.5
809.8	746.5	781.7	789.4
781.7	789.4	762.5	828.4
762.5	828.4	734.3	862.4
734.3	862.4	696.6	904.8
696.6	904.8	632.9	964.4
845.5	167.2	870.4	216.8
870.4	216.8	900.8	264.7
900.8	264.7	925.6	296.5
925.6	296.5	945.3	328.7
945.3	328.7	985.2	382.5
932.9	281.6	910.6	332.5
910.6	332.5	887.1	371.9
887.1	371.9	878.1	396.9
878.1	396.9	850.7	430.8
850.7	430.8	821.1	472.3
821.1	472.3	787.3	520.6
787.3	520.6	755.6	569.3
755.6	569.3	741.4	596.5
741.4	596.5	733.3	623.6
733.3	623.6	721.3	664.7
721.3	664.7	710.6	700.7
710.6	700.7	702	716.8
702	716.8	690.5	731.6
690.5	731.6	667.3	755.3
667.3	755.3	663.9	759.6
898.6	261.2	887.1	294.8
887.1	294.8	871.6	335.9
871.6	335.9	854.5	375.7
854.5	375.7	832.2	421.9
832.2	421.9	809.5	454.9
809.5	454.9	795.8	471.4
795.8	471.4	771.9	504.1
771.9	504.1	748.7	538
