0	101.7	62.1	83.7	117.6	67.2	192.6	46.2	255.6	28.2	341.1	0						
0	166.1	108.6	143.6	179.1	128.7	248.1	113.7	495.6	67.2	686.1	32.7	738.6	32.7	786.6	0		
0	316.1	68.1	316.1														
0	355.1	204.6	277.1	408.6	199.1	591.6	131.6	641.1	121.2	762.6	121.2	777.6	121.2	786.6	134.6		
780.6	50.8	864.6	38.7	917.1	32.7	981.6	13.2	1019.1	0								
0	490.1	185.1	418.1	447.6	305.6	483.6	296.6										
509.1	287.6	581.1	269.6	653.1	211.1	753.6	134.6										
0	625.1	191.1	547.1	359.1	476.6	509.1	424.1	527.1	409.1	660.6	371.6						
708.6	355.1	899.8	302.6	1065.6	251.6	1218.6	196.1	1413.6	134.6	1581.6	83.1	1740.6	25.4	1803.6	0		
660.6	398.6	839.1	371.6	1019.1	347.6	1055.1	347.6										
1032.6	316.1	1055.1	331.1	1115.1	323.6	1298.1	287.6	1383.6	251.6	1565.1	190.1	1605.6	154.1				
828.6	520.1	899.8	393.4	1019.1	166.1	1055.1	83.1										
138.6	578.6	311.1	568.1	483.6	568.1	581.1	547.1										
0	734.6	241.8	685.1	473.1	601.1	660.6	539.6	882.6	473.6								
857.9	461.6	1055.1	386.6	1128.6	355.1												
2148	177.6	1986.5	227.6	1758.6	296.6	1571.1	355.1	1403.1	419.6	1074	520.1	975.6	586.1				
1048.2	537.5	1140.6	520.1	1359.6	490.1	1622.1	455.6	1691.1	446.6	1962.5	373.1	2142.5	331.1				
1547.1	644.6	1775.1	445.1														
1775.1	461.6	2148	413.6														
1793.1	134.6	1977.5	124.2	2148	92.7												
1616.1	177.6	1754.1	166.1	1887.5	149.6												
1803.6	32.7	1719.7	169	1775.1	234.2												
1405	137.4	1445.1	62.7	1469.1	0												
1661.1	32.7	1547.1	68.7	1361.1	68.7	1275.6	83.1	1008.6	113.7								
857.9	0	875.3	37.4														
917.1	0	926.1	25.4														
948.6	12.7	993.2	90.8														
993.2	11.7	1040.6	80														
1160.1	0	1184.8	51.8	1192	92.7												
1168.9	95.3	1218.6	196.1	1251.6	301.6	1188.6	347.6	1118.1	373.1								
1263.6	310.1	1301.1	371.6	1334.8	434.3												
1263.6	0	1370.1	191.6	1479.5	390.3												
1496.1	254.6	1487.1	390.3														
1430	90.8	1491.6	195.2														
1509.6	254.6	1616.1	427.1														
1595.3	211.1	1640.1	322.5														
1632.6	149.6	1700.1	310.1														
1666.3	52.3	1694.1	113.7														
1547.1	11.7	1539.6	83.1														
50.1	0	89.1	73.2														
123.6	0	155.1	50.8														
170.6	52.3	200.1	113.7														
241.8	32.7	285.6	95.3														
285.6	25.4	323.1	80														
330.3	101.7	369.6	163.6														
232.3	117.1	241.8	149.6	285.6	234.2												
138.6	143	207.6	254.6														
74.9	150.6	138.6	266.8														
14.1	177.6	68.1	301.6														
74.9	331.1	135	437.6														
140.5	301.6	195.6	413.6														
241.8	149.6	241.8	211.1	263.7	287.6	279.6	347.6	285.6	398.6	221.1	505.1	147.6	604.1				
369.6	187.1	380.1	229.9	393.3	234.2	422.1	347.6	452.1	498.4	471.6	562.9						
471.6	445.1	527.1	547.1														
581.1	408.4	647.1	520.1	681.6	578.9	708.6	649.1										
695.1	659.6	723.6	754.1														
732.6	788.6	761.1	853.1														
732.6	838.1	786.6	968.6														
683.1	0	701.1	92.7														
570.6	64	591.6	150.6														
434.1	0	509.1	175.7														
527.1	175.7	581.1	296.6														
591.6	287.6	509.1	424.1														
483.6	316.1	759.6	322.5														
625.8	211.1	692.1	322.5														
821.1	331.1	732.6	211.1														
804.6	150.6	875.3	366.8														
882.6	64	899.8	132.6	917.1	198.8	948.6	266.8										
956.1	83.1	1008.6	175.7														
993.2	247.1	1032.6	296.6	1048.2	384.4												
631.4	340.9	692.1	419.6	738.6	498.4	786.6	578.9										
786.6	445.1	804.6	528.8														
753.6	393.4	761.1	445.1														
732.6	357.6	732.6	384.4														
1055.1	271.1	1091.1	398.6	1118.1	445.1	1137.6	498.4										
963.6	427.1	982.3	508.1	1019.1	553.6	1010.1	553.6	941.8	562.9	761.1	578.6	527.1	604.1				
1010.3	562.9	1048.2	613.1	1089.6	668.6												
926.1	615.8	956.1	706.9														
915.6	677.6	926.1	734.6														
857.9	633.5	875.3	689.6														
810.6	689.6	851.1	776.6	956.1	911.6												
804.6	773.6	875.3	890.6														
224.1	625.1	323.1	788.6														
232.3	553.6	296.1	633.5														
304.4	413.6	369.6	515.6	420.6	604.1												
393.3	479.6	465.6	659.6														
350	668.6	369.6	734.6														
393.3	668.6	414.6	773.6														
123.6	633.5	140.5	677.6														
140.5	633.5	155.1	668.6														
27	479.6	68.1	604.1														
14.1	347.6	77.8	459.9														
89.1	473.6	147.6	553.6														
14.1	413.6	34.1	459.9														
97.5	73.2	105	129.4														
118.4	83	135	129.4														
550.4	5.7	543.6	101.3														
224.1	271.1	273.6	371														
1074	195.2	1137.6	371														
1040.6	129.4	1125.5	229.9														
1160.1	331.1	1192	408.4														
1211.1	398.6	1256.1	473.6														
560.1	578.9	581.1	633.5														
591.6	553.6	659	700.2														
77.8	788.6	118.4	877.1														
147.6	734.6	170.6	788.6														
147.8	788.6	173.1	853.1														
74.9	911.6	123.6	994.1	155.1	1048.1	159.1	1078.1										
14.1	929.6	56.1	1006.1	68.1	1043.6	101.2	1091.6										
179.1	903.4	200.1	968.6														
224.1	994.9	285.6	1153.1														
200.1	1115.6	232.3	1184.6														
46	1115.6	123.6	1223.6														
132	1135.1	98.1	1207.1														
6.6	1115.6	200.1	1074	393.3	1021.1	533.1	994.9	644.9	980.6	840	936	848.1	956.6				
0	1277.6	248.9	1177.1	499.4	1091.6	746.9	988.1	915.6	936	1083.1	871.1	1415.1	754.1				
1415.1	743.6	1530.6	701.6														
1430	706.9	1539.6	661.6														
49.2	911.6	207.6	877.1	499.4	820.9	821.1	761.6	948.6	743.6	970.9	734.6	993.2	734.6	1096.3	713.6		
1105.8	689.6	1379.1	644.6	1530.6	626.9												
1616.1	626.9	1803.6	592.1	1798.9	578.9	1719.7	355.1										
1814.1	586.1	1997	553.6	2148	520.1												
1865.1	177.6	1887.5	254.6														
1934	254.6	2004.5	357.6														
1953.5	134.6	2015	216.1														
2042	5.7	2051	101.7														
2075	247.1	2100.8	340.9	1836.8	273	1899.1	390.3										
1625.1	347.6	1625.1	403.8														
1673.1	491	1700.1	684.2														
1719.7	684.2	1751.8	832.1														
1543.3	689.6	1581.6	820.9														
1359.6	490.1	1405	633.5														
1318.2	537.5	1371.5	633.5														
1203.6	553.6	1251.6	633.5														
1137.6	578.6	1184.8	644.6	1178.7	677.6												
1137.6	715.1	1167.6	743.6	1184.8	866.6	1211.1	985.1										
993.2	706.1	1040.6	800.6	1089.6	868.8												
948.6	761.6	993.2	853.1														
489.6	644.6	570.6	860.6	606.6	953.6	674.1	1126.1	692.1	1201.1	692.1	1268.6						
258.9	877.1	323.1	985.1	369.6	1066.1												
350	877.1	434.1	985.1	477.6	1066.1	509.1	1177.1	560.1	1286.6								
441.3	1144.1	471.6	1198.1														
483.6	838.1	509.1	877.1	527.1	911.6	534.6	936	534.6	956.6	543.6	993.5						
600.6	986.3	606.6	953.6														
1239.6	684.2	1263.6	779.6														
1269.6	807.4	1299.2	884.6	1318.2	911.6	1344.9	1000.1										
709.4	1003.8	810.6	994.9	890.1	971.6	963.6	956.6	1016.9	946.1	1118.1	911.6	1160.1	896.6				
1865.1	684.2	1887.5	761.6														
1857.6	615.8	1899.5	689.6														
1917.5	677.6	1953.5	755.2														
1925	452.6	1953.5	528.8														
1887.5	427.1	1836.8	520.1	1830.6	562.9												
1992.5	424.1	2046.5	498.4	2070.5	606.2	2123	706.9										
1925	773.6	2025.5	734.6	2100.8	706.9	2148	677.6										
1968.8	569.6	2004.5	651.1	2024	706.9	2079.5	868.8	2136.5	1058.6								
1105.8	863.1	1137.6	956.6	1192	1045.1	1211.1	1074	1233.6	1153.1								
857.9	981	906.6	1051.1														
893.1	1058.6	915.6	1091.6	948.6	1169.6												
906.6	969.9	1008.6	1135.1														
906.6	938.8	917.1	956.6														
1008.6	903.7	1020.7	929.6														
1041.4	890.6	1096.3	994.9														
1008.6	961.1	1068.9	1135.1														
1105.8	1003.8	1032.6	1115.6														
1221.6	1015.9	1233.6	1040.6														
1460.8	838.1	1509.6	953.6														
1415.1	814.1	1460.8	953.6														
1334.8	782.4	1395.6	863.1														
1371.5	903.4	1430	985.1														
1595.3	911.6	1647.6	1000.1														
1694.1	883.9	1735.7	993.5														
1740.6	863.1	1775.1	916.7														
1469.1	394.3	1523.1	537.5	1581.6	722.6												
1616.1	677.6	1655.1	773.6														
1552.5	721.1	1616.1	807.4														
1632.6	677.6	1581.6	761.6														
1616.1	655.6	1595.3	701.6														
1562.4	498.4	1605.7	565.5														
1607.1	457.6	1661.1	537.5														
1617.7	445.1	1647.6	486.9														
1761.6	678.6	1859.1	649.1														
1814.1	853.1	2123	814.1														
1899.5	807.4	2136.5	764.2														
1460.8	1040.6	1830.6	1003.8														
1616.1	1066.1	1719.7	850.1														
1686.6	807.4	1709.8	863.1														
527.1	947.7	527.1	971.6	547	1016.1	590.9	1078.1	644.9	1184.6	692.1	1250.6						
285.6	1439.6	132	1448.6	6.6	1468.1	27.1	1544.6										
189.6	1286.6	216.6	1345.1	241.8	1402.1	248.9	1439.6										
248.9	1184.6	264.2	1238.6	304.4	1315.1	350	1412.6										
41.1	1302.5	68.1	1376.6														
381.6	1178.6	483.6	1355.6														
232.3	1528.1	314.3	1412.6	381.6	1298.6												
359.8	1292.6	404	1390.1														
304.4	1426.5	449.1	1376.6	659	1292.6	761.1	1249.1	893.1	1198.1								
1899.5	779.6	1961.5	953.6														
1878.6	788.6	1899.5	868.8	1953.5	958.1												
1925	883.9	2004.5	953.6														
2046.5	969.9	2108	1081.9														
906.6	1192.1	1105.8	1169.6	1203.6	1163.6	1287.2	1144.1	1400.7	1115.6	1509.6	1099.1						
1472.8	1040.6	1530.6	1115.6														
1496.1	1101.2	1525.3	1150.1														
1430	1178.6	1666.3	1099.1	1899.5	1025.8	2148	938.7										
2136.5	743.6	2057.8	961.1														
1803.6	986.3	1878.6	911.6														
1865.1	890.6	1894.7	850.1														
1775.1	942.7	1789	1025.8	1797.6	1048.1												
1740.6	1015.9	1761.6	1058.6														
1673.1	1040.6	1698.2	1074														
1525.3	993.5	1607.1	1207.1	1655.1	1339.5	1740.6	1528.1	1761.6	1606.1								
27	1586.6	84.8	1564.1	147.8	1528.1	200.1	1513.1	258.9	1490.5								
107.1	1453.8	132	1510.1														
6.6	1562.6	33.6	1562.6	47.6	1578.6												
