4.9	607.7	70.6	576.8	144.1	535.4	233.7	490.1	329.7	442.1	430.9	392.8	493.4	365.2	561.1	339.5	604.3	321.8	689.4	274.4	748	246.8	822.8	200.8	864.7	183	895.6	169.9																														
857.4	186.1	873.1	146.9																																																						
851.8	127.2	813.1	167.9	760.9	208.7	730	235	707.9	265.7																																																
326.1	13.5	375.1	72.4	429.5	141.2	488.3	211.2	547	298.9	596	374.4	611.6	399.4																																												
613.9	23.4	593.9	101.5	593.9	145.3	597.4	236.6	596.8	300.9	605.6	364	611.6	399.4																																												
611.6	399.4	618	445.1	635.1	549.6	648.6	650.5	661.6	747.8	667.5	798.9	672.2	869.2	696.3	907	722.8	940.6																																								
432.3	0	388.5	54.4	351	114.4	321	167.3	315.3	178.5																																																
316.8	261.9	380.6	337.5	420.6	382.2	460.6	434.8	503.7	484.8																																																
315.3	159.1	284.1	190.9	265.1	205.6	227.6	221.5	184.3	232.6	150.3	242.6																																														
451.4	0.9	406.4	69.1	357.9	136.7	313.5	192	308.3	207.3	299.1	237.3																																														
501	0	474.4	47.3	454.2	98.5	442.7	134.4	430.6	168.5	419.1	203.8	409.3	222	398.3	243.2	395.4	272	386.2	293.8																																						
514.2	3.8	487.7	43.2	466.1	68.5																																																				
413.9	57.7	466.1	68.5																																																						
474.4	47.3	514.8	72.6	532.7	83.8	560.4	95.6	584.6	110.3	593.9	119.7																																														
510.2	82.6	563.3	91.4	593.9	101.5																																																				
550.6	33.8	522.3	67.3	510.2	82.6																																																				
510.2	82.6	494.6	113.2	481.9	136.7	466.9	161.5	450.2	183.2	436.4	215.6	417.3	260.3	408.1	291.5	393.1	347.3	367.2	414.4	338.3	480.3	314.7	526.8	284.7	579.1	258.2	636.8	240.3	669.7																												
583.4	13.2	585.7	64.4	594.5	98.9																																																				
390.2	158.5	476.2	177.3	543.1	189.7	569	196.2																																																		
285.2	319.8	323.3	369.1	354.8	408.5	392.9	457.8	440.6	513.7																																																
155.7	305.3	196.9	350.7	229.8	388.2	243.3	408.5	260.1	438.8	271.1	454.6																																														
167.8	111.5	136.5	182.1	117.2	227.5	84	302.8	46.8	382.2	23.5	421.5																																														
125.5	208.1	197	194.3	259.5	182.1	289.5	176	315.3	178.5																																																
315.3	178.5	341.3	187.5	379.2	190.9	414.5	186.8	438.4	186.8	471.6	191.3																																														
328.6	183.1	345.3	176.7	363.9	178.7	383.2	184.8	393	189.3																																																
236.3	56.6	257.5	127.8	272.4	179.5																																																				
305.4	24	338.7	53.2	354.6	72.2	366.8	89.1																																																		
321.4	18.6	344	53.2	356.9	75.4																																																				
315.3	178.5	291.5	224.8	260.9	288.6	236.9	333.3	217.7	355	181.7	386.9	139.2	415.4	96	459.5	70	478.5	42.8	503.6																																						
162.5	386.9	185.7	355.7	227	294.7	258.9	243.1	280.8	226.8	302.6	203.2																																														
211	422.2	219	402.5	232.3	364.5	250.9	346.2	289.5	296	303.4	272.3																																														
176.5	390.4	195.7	367.9	214.3	351	235.3	335.1																																																		
208	356.7	242.9	371.3	265.5	386.9	301.4	404.5	334	428.3	366.6	455.4	397.2	479.2																																												
93.3	281.8	134.5	308.2	165.8	339.4	204.4	380.8	210.3	388.3																																																
115.9	312.3	155.8	364.5																																																						
149.8	390.3	191.7	429																																																						
149.2	399.1	161.1	425.6																																																						
183.7	445.9	211	422.2																																																						
211	422.2	258.9	386.9	261.6	384.2																																																				
271.4	389.8	245.6	442.5	236.3	463.6	211.7	485.9																																																		
125.6	429.3	161.8	448	189.7	469	211.7	485.9																																																		
211.7	485.9	225	507.6	240.9	538.8	244.2	553.1	243.6	577.5	240.9	591.1	242.9	634.5	231.6	666.4																																										
4.2	482.5	30.8	496.8	42.8	503.6																																																				
42.8	503.6	74	532.1	125.2	574.8	160.5	607.4	184.4	632.4	231.6	666.4																																														
231.6	666.4	240.3	669.7																																																						
240.3	669.7	274.2	698.9	326	730.1	368.6	756.6	412.5	781.7	440.4	794.6	470.3	810.2	479.6	816.3	492.9	828.5	508.9	847.5																																						
5.4	521.4	36.1	486.2	56.3	469.5	95.2	435.8	113.4	419.6																																																
25.7	417.8	56.8	442.6	78.4	456.8	90.1	463.7																																																		
18.9	455.8	52.4	479.8	62.6	485.3																																																				
78.9	472	107.2	491.1	140.7	520.4	182	566.9	202.2	598.7	215.1	624.7	226.3	662.5																																												
100	455.4	127.3	473.4	153.7	496.9	166.7	509.2	187.8	532.7	192.6	549.8																																														
187.8	532.7	207.4	546.4	222.3	551.3	251.6	553.7	269.3	559.6	306.3	556.2	363.4	550.8	399.4	548.8	423.9	546.9	444	542	474.7	529.2	487.2	523.4	510.2	510.2																																
211.3	563.5	240.9	591.1																																																						
247.2	553.4	257.8	519.9	270.8	482.3	288.5	442.1	299.6	417.2	315.4	392.7	320.2	382.9	325.5	361.9	324.5	347.7	319.7	334.4																																						
166.7	429.4	185.8	403.5	199.3	383.4																																																				
201.2	450.4	220.4	432.3	234.3	422.5																																																				
234	525.3	256.9	505.8	264.5	500.6																																																				
173.9	474.4	215.1	519.9	231.9	535.6	241.8	542.7																																																		
257.8	519.9	285.7	510.6	309.6	505.3	327.3	502																																																		
284.7	521.9	302	537.6																																																						
315.6	504.2	330.8	463.2	341.8	444.1	346	438.3																																																		
330.8	463.2	342.4	470.9																																																						
282.3	484.2	303.5	455.2																																																						
308.7	443.6	339.4	402.5	358.1	377	375.4	354																																																		
384	100.3	414.7	149.4	447.4	215	458.9	236.6	465.1	262.5	464.2	286	474.2	334.9	477.1	372.3																																										
319.7	303.1	345.2	308	368.2	312.9	392.7	322.2																																																		
392.6	278.8	396	304.6	392.7	322.2																																																				
392.7	322.2	394.1	343.6																																																						
386.2	293.8	381.6	326.6																																																						
392.6	278.8	393.6	233.1	392.2	204.7	393	189.3																																																		
346	438.3	358.1	465.6	376.3	506.7	391.2	533.7																																																		
374.9	550.2	391.2	533.7																																																						
391.2	533.7	420	522.9	440.6	513.7																																																				
440.6	513.7	481.4	496	503.7	484.8																																																				
503.7	484.8	560.6	454.4	614.8	422.2																																																				
387.9	428.4	415.2	458.3	441.6	485.7	454.1	497.4																																																		
354.8	485.7	370.6	469	381.6	455.8	392.7	445.1	405.1	427.4	421.5	408.8	443.5	391.7	472.8	369.2	494.9	355.5	518.4	340.8																																						
494	219.8	499.6	248.6	510	290	521.4	312.8	536.2	343.6	554.5	361.8	557	363.3																																												
463.2	190.2	469.9	229.5	479.3	272.9	487.7	307.7	490.7	328.4	515.9	356.6																																														
509.5	349.5	500.6	381.6	498.4	419.2	498.8	444.2	492.5	471.8																																																
485.5	493.9	492.5	471.8																																																						
488.8	492.3	503.8	456.2	509.3	439.1	517.9	414.1	530.6	384.9																																																
526.5	352.6	530.6	384.9																																																						
530.6	384.9	530.2	420.5																																																						
537.4	421	530.2	420.5																																																						
530.2	420.5	522.4	422.4	505.6	427.5	480.2	436.7	457.1	450.6	435.4	479.3																																														
432	475.7	419.4	495.1																																																						
424.4	467.8	438.5	443.7																																																						
1.2	613.2	50.2	662.6	140.8	757.2	185.6	791.1	213	815.3																																																
185.6	791.1	244.6	745.4	292.2	709.8																																																				
267.3	693	304.7	645.4																																																						
33.3	700.8	140.8	757.2																																																						
10.7	555.1	39.1	605.7	60.2	624.5	70.2	628.8	82.3	632																																																
63.9	621.2	82.3	632																																																						
82.3	632	107.1	647	116.6	653.5																																																				
108.5	723.5	131.3	637.4	143.1	591.3																																																				
21.1	503.4	41.8	544.9	60.2	568.6	83.4	591.1	95.5	603																																																
50.9	556.7	59.1	573.9	69.7	596	78.1	617.5	82.3	632																																																
130.2	641.8	152.4	672.8	174.5	711	193.5	744.3	201.9	752.9	230.9	773.4	253.6	794.3	258.3	802.9																																										
157.6	769.9	175.6	759.9	188.8	754.5																																																				
133.4	732.5	172.5	707.5																																																						
189.1	736.5	217.2	714.8	233.6	703.5																																																				
206.2	706.2	228.3	719.1	249.9	725.5																																																				
249.9	725.5	274.1	732.5	287.8	740.6																																																				
214.1	689	236.7	704																																																						
233.6	703.5	236.7	704																																																						
236.7	704	243	707.2																																																						
168.7	645.4	210.4	678.8																																																						
270.8	864.4	311.8	895.2	350.5	924.4	362.9	932.7																																																		
172	877	195.1	863.9	218.2	844.3	234.4	829.4																																																		
216.8	766.9	229.3	813.3	234.4	829.4																																																				
234.4	829.4	239.6	865.7	238.7	892.7	234	925																																																		
221.1	782.9	255.4	773.6	284.5	772.3	299.9	771.8	319.6	786.7	362.8	812	397.5	832.5	436.4	852.1	480.1	868.7	516.9	884	548.5	900.6	563.9	902.7	578.9	904.1	602.4	902.3																														
279.4	949.4	333.7	958.6	368.8	959.5	394.9	959.5	427.4	956.4	454	949.9	488.6	940.3	534	929.4	571.6	915	602.4	902.3																																						
602.4	902.3	635.4	884.9	651.6	875.3																																																				
651.6	875.3	672.2	869.2																																																						
125.6	829.7	162.1	855	173.8	862.2																																																				
245.5	902	281.5	925.9	309.6	942.2	326.8	952.9																																																		
255.1	888.7	280.3	908	306.7	925.1	333.5	946.9																																																		
331	935.8	359.5	955.8	382.1	964.8	398	966.5																																																		
237.5	923.8	248.8	911.4	259.7	900.7	264.2	895.7																																																		
247.6	893.9	255.1	888.7																																																						
255.1	888.7	269.8	879.8																																																						
255.5	869.5	269.8	879.8																																																						
269.8	879.8	310.4	902.4	329.7	917.4	358.2	937.9	369.1	944.7	378.3	947.7																																														
281.5	925.9	298.3	905	305	899.4																																																				
310.4	902.4	324.3	887.5	344.8	868.2	364.5	854.1	377.9	845.1	393.4	830.1																																														
258.5	864.8	274	851.5	286.5	834	302.9	817.8	323.8	801.5	330.5	796.8																																														
245.1	829.3	256.8	813.1	269.4	796.8																																																				
254.7	840	285.3	819.5	300.8	810.9																																																				
243.8	923.4	281.5	925.9																																																						
260.6	918.2	276.9	933.2	285.9	950.5																																																				
335.6	888.7	378.3	911.8	394.7	919.9	417.7	923.8																																																		
366.3	943	372.5	928.5	382.9	907.1	394.7	889.2	408.1	870.8	418.2	843																																														
352.8	820.8	360.3	842.1	375.8	855	400.5	868.6	419.4	877.6	438.2	890.4																																														
345.2	820.8	323.8	846.4	313.8	856.7	292.4	868.6	283.1	873.6																																																
282.4	852.8	305.8	843	320.5	835.3																																																				
307.9	850.3	332.2	860.1	340.6	862.7																																																				
303.6	862.4	332.1	880.1																																																						
348.8	865.4	370.8	863.9																																																						
388	861.7	406	861.4	411.3	862																																																				
411.3	862	423.2	868.6	429	876.8																																																				
367.4	834	384.2	849.8																																																						
362.8	828.9	370.1	816.3																																																						
370	907.3	377.9	888.7	387.1	876.3	392.1	869.5																																																		
414.8	930.6	417.7	923.8																																																						
417.7	923.8	430.3	903.7	438.2	890.4																																																				
438.2	890.4	445.8	878.5	456.3	859.7																																																				
431.2	885.6	430.3	903.7																																																						
389.6	990	397.6	969.9	402	958.8																																																				
