98.571,410.374,297.64,273.64
321.701,350.51,444.15,223.979
187.687,236.905,338.028,168.877
321.701,260.034,420.34,116.497
180.204,494.728,362.517,450.509
216.258,434.183,401.973,334.184
280.204,362.075,401.973,202.891
174.762,273.64,306.055,232.823
140.748,315.136,174.762,304.932
127.143,375.68,190.408,330.102
201.292,384.184,318.979,325.34
244.01,541.099,382.826,343.478
432.206,407.112,502.785,245.798
266.966,347.435,384.104,231.206
400.624,322.329,442.953,153.388
349.953,591.652,505.362,486.576
362.604,522.332,501.729,363.793
397.357,432.435,455.901,240.76
267.677,386.37,376.463,302.291
250.288,437.13,278.601,415.694
258.672,498.615,302.049,433.82
331.127,480.701,420.87,384.478
