1497	0	1579	122	1763	368	1899	556	2073	782	2147	874								
269	744	339	842	457	1026	525	1134	611	1228										
951	758	1167	1016	1383	1276														
691	0	775	128	915	302	1021	437	1057	484										
909	0	1071	242																
973	0	1027	121	1117	318	1179	437												
1071	0	1147	144																
1209	62	1179	10	1209	72														
0	364	97	484	199	618														
1325	62	1481	232	1573	346	1627	414												
1941	918	2013	1048	2067	1180	2087	1228												
799	2636	815	2682	833	2796	857	2898	905	3062	923	3100								
1407	2280	1553	2432	1623	2530	1753	2666	1857	2788	1929	2856	1981	2912						
1957	2912	2011	2978	2063	3064														
2329	1668	2401	1776	2459	1832	2573	1950	2629	2012										
373	2210	469	2340	593	2512	693	2650												
0	766	173	944	315	1098														
345	1086	383	1172	491	1276	541	1318												
559	1336	651	1428																
681	1474	845	1648	923	1740	997	1826	1037	1906										
0	314	123	274																
315	736	219	484	135	314	83	188												
115	188	215	314	295	414														
199	72	241	144	315	294	253	318	125	364	0	402								
83	0	157.5	84	223	166														
0	208	61.5	294																
61.5	383.3	115	470																
0	504	153	462	279	414	389	383.3	487	352	595	301								
709	294	819	251	925	218.5	973	198	1076	166	1167	144	1269	108						
1037	142.9	1194	83	1325	34	1425	10												
749	0	841	108																
815	0	909	136																
669	0	723	76.4	749	166	795	260.4												
805	274	849	364	909	484	951	570												
874	598	989	744																
0	1114	153	1040	345	956	499	890	651	826	732	800								
131.5	901.3	295	858	477	800	595	758												
0	864	179	800	223	800	345	782	411	758										
0	811	123	766	191	744														
30.8	495.6	115	608	191	671	223	736												
95.5	714	169	692	231	692	395	636	465	615.8	529	598								
0	688	126.9	656	235	618	345	584	440	548	541	504	691	462						
0	615.8	126.9	570	205.5	546	329	504												
281	462	329	559.9	395	636														
338	504	411	598																
9	549	153	495.6	191	484	247	470	374.5	426.7	497	383.3	541	364						
541	326.5	651	551	691	636														
579	314	605	359.1	669	470														
669	352	605	359.1																
699	392	637	422																
425	0	529	136	651	314														
374.5	0	487	121	595	251														
651	326.5	719	407																
637	477.1	709	575	769	656														
691	671	841	626	878	615.8														
815	598	893	588	1037	559.9	1231	504	1415	437	1509	422								
247	714	425	656	559	626														
395	744	541	696	605	670														
475	670	440	777.5																
529	758	484.8	856																
559	874	506.9	1073																
281	760.8	315	884																
297.5	884	329	986	338	1040														
191	1023.4	257	1114																
131.5	1050.4	191	1162																
61.5	1000	99.5	1050.4																
