102.3	745.2	193.8	707.2
193.8	707.2	245.9	684.7
245.9	684.7	262.2	677
262.2	677	310.3	663.3
156.5	674.4	223.5	667.5
223.5	667.5	278.5	659
278.5	659	342.1	633.2
342.1	633.2	404	599.7
404	599.7	536.3	553.3
536.3	553.3	654.8	518.1
654.8	518.1	704.6	505.2
704.6	505.2	757.1	478.5
757.1	478.5	797.4	459.6
797.4	459.6	851.6	456.2
851.6	456.2	901.4	448.5
901.4	448.5	950.4	452.8
635.3	523.9	688.4	663.4
688.4	663.4	715.4	741.8
715.4	741.8	739	823.6
739	823.6	779	916.9
645.5	798.9	692.3	810.4
692.3	810.4	747.9	813.9
747.9	813.9	806.1	816.1
806.1	816.1	867.4	811.3
745.7	776.9	765.5	832
765.5	832	780.5	873
780.5	873	796.8	905.3
781	758.3	803	810.4
803	810.4	824.6	868.2
824.6	868.2	829.9	882.8
742.6	938.3	764.6	908.8
764.6	908.8	780.1	886.3
780.1	886.3	802.6	855.4
802.6	855.4	827.7	822.8
827.7	822.8	858.6	781.7
858.6	781.7	911.6	709.8
911.6	709.8	956.6	639.7
956.6	639.7	996.3	569.1
820.2	608.8	837.9	646.7
837.9	646.7	860.4	681.6
860.4	681.6	889.9	715.5
889.9	715.5	918.6	745.5
918.6	745.5	929.6	757.5
910.8	737.4	937.1	746.4
794.2	606.6	814.5	664.4
814.5	664.4	840.1	726.1
840.1	726.1	861	778.5
708.8	722.4	775.2	724.4
775.2	724.4	817.1	725.2
817.1	725.2	848	724.4
844.6	737.4	901	754.4
901	754.4	923.9	762.7
848	724.4	916.9	723
916.9	723	952.2	723
864.8	724	906.7	741.1
890.4	681.7	925.6	674.3
925.6	674.3	976.3	660.7
863.1	512.2	878.5	572.9
878.5	572.9	891.7	644.1
891.7	644.1	898.7	668.8
898.7	668.8	908.8	698.6
908.8	698.6	911.6	709.8
881.8	590.9	904.4	576.4
904.4	576.4	958.5	571.6
958.5	571.6	996.3	569.1
883.7	558	907.1	542.6
907.1	542.6	937.4	528.9
946.2	479.3	938.3	514
938.3	514	937.4	528.9
937.4	528.9	940.9	535.1
962.9	458.2	991.5	435.3
933	440.1	973.9	435.7
973.9	435.7	991.5	435.3
739.5	572.5	786.6	546.1
786.6	546.1	825.3	524.1
825.3	524.1	857.4	509.6
857.4	509.6	864.4	507.4
971.2	336.8	944	386
